keywords,pulsarId,week_tag
gempa,0_87317_16_4025ec1a17d9d3d3f44d3d1600e99c13,from 2022-12-08 to 2022-12-14
susulan,0_87317_16_4025ec1a17d9d3d3f44d3d1600e99c13,from 2022-12-08 to 2022-12-14
bali,0_87317_16_4025ec1a17d9d3d3f44d3d1600e99c13,from 2022-12-08 to 2022-12-14
china,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
jhatka,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
galwan,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
clash,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
amid,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
encroachment,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
moves,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
forced,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
reassess,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
former,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
army,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
chief,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
gen,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
naravane,0_87317_16_acca2c894928e2b3601946144335c20f,from 2022-12-08 to 2022-12-14
china,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
removes,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
diplomats,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
protester,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
assaulted,0_87317_126_t1_j073lfk,from 2022-12-08 to 2022-12-14
laut,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
china,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
selatan,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
harusnya,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
jadi,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
sumber,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
kesejahteraan,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
bukan,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
permasalahan,0_87317_16_b9b53b2b2dd9f37ac86338db2c9ad15d,from 2022-12-08 to 2022-12-14
laut,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
china,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
selatan,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
harusnya,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
jadi,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
sumber,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
kesejahteraan,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
bukan,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
permasalahan,0_87317_16_9b39601c7beba20737695412724e8469,from 2022-12-08 to 2022-12-14
tekno,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
berita,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
hari,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
ini,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
siklon,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
tropis,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
98s,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
62,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
gempa,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
susulan,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
bali,0_87317_16_bbb8730d00097dd52d232e07d65b68b1,from 2022-12-08 to 2022-12-14
laut,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
china,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
selatan,0_87317_16_eb19a28cc4d2cc77746e04d2f6c07783,from 2022-12-08 to 2022-12-14
